Region,Area,Site,Month,Weekday,Saturday,Sunday,Daily
East Midlands,Foxton,Site1,January,5932,5897,6112,5946
East Midlands,Foxton,Site1,February,5894,5817,5893,5878
East Midlands,Foxton,Site1,March,5981,5656,5879,5795
East Midlands,Foxton,Site1,April,5792,5715,5957,5881
East Midlands,Foxton,Site1,May,6029,5850,5647,5980
East Midlands,Foxton,Site1,June,5940,6031,5857,6009
East Midlands,Foxton,Site1,July,5892,6024,5883,5926
East Midlands,Foxton,Site1,August,6025,5868,5926,5938
East Midlands,Foxton,Site1,September,5951,5939,5816,5754
East Midlands,Foxton,Site1,October,5830,5861,5951,5996
East Midlands,Foxton,Site1,November,5905,6124,6032,5881
East Midlands,Foxton,Site1,December,6057,5702,5997,6069
East Midlands,Foxton,Site2,January,5818,6067,5862,5982
East Midlands,Foxton,Site2,February,5772,5841,5833,5783
East Midlands,Foxton,Site2,March,5907,5834,5663,6026
East Midlands,Foxton,Site2,April,5833,5908,6121,5869
East Midlands,Foxton,Site2,May,5900,5908,5843,5977
East Midlands,Foxton,Site2,June,5795,5836,6007,5767
East Midlands,Foxton,Site2,July,5933,6006,5894,5891
East Midlands,Foxton,Site2,August,5826,5736,5729,5937
East Midlands,Foxton,Site2,September,6027,6028,5914,5627
East Midlands,Foxton,Site2,October,5832,5943,6055,5998
East Midlands,Foxton,Site2,November,5802,5842,5896,5844
East Midlands,Foxton,Site2,December,5858,5918,5802,5767
East Midlands,Foxton,Site3,January,5976,5892,5924,5791
East Midlands,Foxton,Site3,February,5832,5861,5788,5884
East Midlands,Foxton,Site3,March,5839,5696,5744,6117
East Midlands,Foxton,Site3,April,5806,5778,5914,5855
East Midlands,Foxton,Site3,May,5779,5933,5806,5977
East Midlands,Foxton,Site3,June,6036,5762,6076,5972
East Midlands,Foxton,Site3,July,5794,5822,5822,5993
East Midlands,Foxton,Site3,August,5844,5889,5856,5738
East Midlands,Foxton,Site3,September,5850,5829,5839,6068
East Midlands,Foxton,Site3,October,6065,5996,5911,5914
East Midlands,Foxton,Site3,November,6065,5705,5878,5806
East Midlands,Foxton,Site3,December,5815,5830,5793,5835
East Midlands,Foxton,Site4,January,5832,5909,5836,5837
East Midlands,Foxton,Site4,February,5926,5963,5743,6090
East Midlands,Foxton,Site4,March,5962,5939,5736,6133
East Midlands,Foxton,Site4,April,5918,5867,5768,5956
East Midlands,Foxton,Site4,May,5810,5984,5846,5806
East Midlands,Foxton,Site4,June,5898,5826,5741,5842
East Midlands,Foxton,Site4,July,5890,5734,5922,5881
East Midlands,Foxton,Site4,August,5872,5796,5843,5875
East Midlands,Foxton,Site4,September,5944,5940,5978,5920
East Midlands,Foxton,Site4,October,6065,5890,6029,5765
East Midlands,Foxton,Site4,November,5844,6017,5772,5791
East Midlands,Foxton,Site4,December,5658,5999,5928,5949
East Midlands,Foxton,Site5,January,6054,5909,5876,5916
East Midlands,Foxton,Site5,February,5928,6072,6041,5718
East Midlands,Foxton,Site5,March,5786,5827,5961,5885
East Midlands,Foxton,Site5,April,5887,5916,5900,5792
East Midlands,Foxton,Site5,May,5976,5866,5752,6003
East Midlands,Foxton,Site5,June,5634,5934,5916,5979
East Midlands,Foxton,Site5,July,5762,5819,5874,5983
East Midlands,Foxton,Site5,August,5832,5732,5865,5906
East Midlands,Foxton,Site5,September,5823,5914,5764,5772
East Midlands,Foxton,Site5,October,5815,5947,6039,5881
East Midlands,Foxton,Site5,November,6013,6044,5959,5863
East Midlands,Foxton,Site5,December,5721,5921,6037,5978
East Midlands,Foxton,Site6,January,5953,5942,5816,5723
East Midlands,Foxton,Site6,February,6011,6129,5869,5772
East Midlands,Foxton,Site6,March,5714,5853,5825,5692
East Midlands,Foxton,Site6,April,5992,5905,5745,5896
East Midlands,Foxton,Site6,May,5945,5723,5963,5831
East Midlands,Foxton,Site6,June,6013,5927,5865,5858
East Midlands,Foxton,Site6,July,5987,5802,5564,5951
East Midlands,Foxton,Site6,August,5706,5861,6060,5790
East Midlands,Foxton,Site6,September,5888,5968,5810,5833
East Midlands,Foxton,Site6,October,6035,5830,6202,5971
East Midlands,Foxton,Site6,November,5824,5865,5897,5888
East Midlands,Foxton,Site6,December,5895,5793,5945,5777
East Midlands,Foxton,Site7,January,5990,5970,5786,5904
East Midlands,Foxton,Site7,February,5889,6059,5711,5869
East Midlands,Foxton,Site7,March,5881,6132,5686,5825
East Midlands,Foxton,Site7,April,5803,6084,5882,5921
East Midlands,Foxton,Site7,May,5566,6106,6012,5904
East Midlands,Foxton,Site7,June,5921,5892,5773,5860
East Midlands,Foxton,Site7,July,5940,5884,6037,5852
East Midlands,Foxton,Site7,August,5945,5704,5748,5807
East Midlands,Foxton,Site7,September,5668,5852,5810,5815
East Midlands,Foxton,Site7,October,6003,6008,5757,5991
East Midlands,Foxton,Site7,November,5827,5841,5790,5912
East Midlands,Foxton,Site7,December,5810,5861,5803,5795
